Годы;Год. доб. нефти, тыс.т;Нак. доб. нефти, тыс.т;Год. доб. воды, тыс.т;Нак. доб. воды, тыс.т;Год. доб. газа, млн.м3;Нак. доб. газа, млн.м3;Дебит нефти, т/сут;Дебит воды, т/сут;Дебит жидк., т/сут;Обводнен-ность, %;по нефти;по жидкости;Пласт. давление, МПа;Забойное давление, МПа;Туст, 0С
1;3,03;3,03;13,77;13,77;0,53;0,53;8,46;38,49;46,95;81,89;173,74;31,49;15,75;5,95;29,48
2;3,94;6,96;11,96;25,72;0,73;1,26;11,01;33,43;44,43;75,10;183,36;45,73;15,22;5,00;28,22
3;3,61;10,57;10,38;36,11;0,69;1,94;10,09;29,03;39,12;74,06;189,14;49,15;14,81;5,00;25,56
4;3,24;13,82;9,29;45,39;0,65;2,59;9,07;25,96;35,03;73,95;199,11;51,98;14,43;5,00;23,52
5;2,89;16,71;8,52;53,91;0,66;3,25;8,07;23,81;31,88;74,48;224,92;57,55;13,85;5,00;21,94
6;2,58;19,29;7,90;61,81;0,64;3,90;7,21;22,07;29,29;75,15;246,87;61,52;13,58;5,00;20,64
7;2,35;21,63;7,42;69,23;0,62;4,51;6,57;20,75;27,32;75,73;260,07;63,32;13,33;5,00;19,66
8;2,16;23,79;7,03;76,26;0,59;5,11;6,04;19,65;25,69;76,25;271,04;64,57;13,10;5,00;18,84
9;2,00;25,80;6,71;82,97;0,57;5,68;5,60;18,77;24,37;76,77;282,48;65,83;12,88;5,00;18,18
10;1,85;27,65;6,40;89,38;0,55;6,23;5,18;17,90;23,08;77,30;293,78;66,91;12,67;5,00;17,54
11;1,72;29,37;6,15;95,52;0,53;6,77;4,82;17,18;22,00;77,82;305,18;67,94;12,47;5,00;17,00
12;1,61;30,98;5,92;101,44;0,52;7,29;4,50;16,54;21,04;78,33;317,40;69,02;12,28;5,00;16,52
13;1,50;32,48;5,72;107,16;0,51;7,80;4,21;15,98;20,19;78,86;334,78;71,04;12,10;5,00;16,09
14;1,40;33,88;5,50;112,66;0,51;8,31;3,91;15,38;19,30;79,41;357,73;73,94;11,92;5,00;15,65
15;1,31;35,19;5,32;117,98;0,51;8,82;3,65;14,88;18,54;79,97;383,09;77,07;11,75;5,00;15,27
16;1,22;36,41;5,16;123,15;0,51;9,33;3,42;14,44;17,86;80,49;408,46;80,06;11,59;5,00;14,93
17;1,16;37,57;5,03;128,18;0,51;9,84;3,23;14,07;17,30;80,95;431,59;82,62;11,44;5,00;14,65
18;1,09;38,66;4,88;133,06;0,51;10,35;3,05;13,65;16,71;81,34;452,47;84,82;11,29;5,00;14,35
19;1,04;39,70;4,76;137,82;0,50;10,85;2,90;13,30;16,21;81,70;471,72;86,73;11,16;5,00;14,10
20;0,99;40,69;4,66;142,48;0,50;11,35;2,76;13,02;15,79;82,08;489,58;88,15;11,03;5,00;13,89
21;0,95;41,63;4,65;147,13;0,49;11,85;2,65;12,99;15,64;82,67;506,93;88,29;10,90;5,00;13,82
22;0,90;42,54;4,59;151,72;0,49;12,33;2,53;12,84;15,36;83,14;524,09;88,78;10,78;5,00;13,68
23;0,87;43,41;4,54;156,26;0,48;12,82;2,43;12,68;15,11;83,52;539,67;89,41;10,66;5,00;13,55
24;0,84;44,24;4,47;160,73;0,48;13,30;2,34;12,51;14,85;83,82;554,40;90,15;10,54;5,00;13,42
25;0,81;45,05;4,42;165,15;0,48;13,77;2,26;12,37;14,63;84,10;569,35;90,97;10,43;5,00;13,32
26;0,78;45,83;4,35;169,51;0,47;14,24;2,18;12,17;14,35;84,37;584,57;91,84;10,32;5,00;13,17
27;0,75;46,59;4,29;173,80;0,47;14,71;2,11;12,01;14,12;84,62;599,73;92,71;10,22;5,00;13,06
28;0,73;47,32;4,24;178,04;0,47;15,18;2,04;11,85;13,89;84,85;614,86;93,60;10,11;5,00;12,95
29;0,71;48,03;4,19;182,23;0,46;15,64;1,99;11,73;13,71;85,07;629,97;94,51;10,01;5,00;12,86
30;0,69;48,72;4,13;186,36;0,46;16,10;1,92;11,54;13,47;85,28;645,16;95,42;9,96;5,00;12,73
31;0,67;49,39;4,24;190,60;0,46;16,56;1,87;11,86;13,73;85,97;659,72;93,04;9,89;5,00;12,86
32;0,65;50,03;4,43;195,03;0,45;17,01;1,81;12,38;14,19;86,80;673,96;89,39;9,82;5,00;13,10
33;0,63;50,67;4,54;199,57;0,45;17,46;1,77;12,68;14,45;87,34;687,43;87,40;9,74;5,00;13,23
34;0,61;51,28;4,58;204,15;0,45;17,91;1,72;12,81;14,52;87,76;700,46;86,10;9,67;5,00;13,26
35;0,60;51,88;4,61;208,76;0,44;18,35;1,68;12,89;14,57;88,10;713,15;85,21;9,59;5,00;13,28
36;0,58;52,47;4,63;213,39;0,44;18,79;1,63;12,94;14,57;88,39;725,20;84,59;9,52;5,00;13,29
37;0,57;53,04;4,64;218,03;0,44;19,23;1,60;12,98;14,58;88,63;736,34;84,08;9,45;5,00;13,29
38;0,56;53,60;4,63;222,66;0,43;19,67;1,56;12,94;14,50;88,85;746,83;83,67;9,38;5,00;13,25
39;0,55;54,14;4,62;227,27;0,43;20,10;1,53;12,91;14,43;89,04;757,29;83,39;9,31;5,00;13,22
40;0,53;54,68;4,60;231,88;0,43;20,53;1,49;12,87;14,36;89,21;767,62;83,19;9,24;5,00;13,18
41;0,52;55,20;4,60;236,47;0,43;20,95;1,47;12,85;14,32;89,37;777,51;83,04;9,18;5,00;13,16
42;0,51;55,72;4,56;241,04;0,42;21,37;1,43;12,76;14,19;89,51;787,54;82,96;9,12;5,00;13,10
43;0,50;56,22;4,54;245,58;0,42;21,79;1,41;12,69;14,10;89,65;798,09;82,99;10,14;5,00;13,05
