Годы;Год. доб. нефти, тыс.т;Нак. доб. нефти, тыс.т;Год. доб. воды, тыс.т;Нак. доб. воды, тыс.т;Год. доб. газа, млн.м3;Нак. доб. газа, млн.м3;Дебит нефти, т/сут;Дебит воды, т/сут;Дебит жидк., т/сут;Обводнен-ность, %;по нефти;по жидкости;Пласт. давление, МПа;Забойное давление, МПа;Туст, 0С
1;6,38;6,38;5,17;5,17;0,96;0,96;17,85;14,46;32,30;44,75;151,03;83,44;13,76;5,00;22,15
2;6,01;12,39;1,18;6,35;0,91;1,87;16,80;3,31;20,11;16,46;151,28;126,38;13,28;5,00;16,06
3;5,52;17,91;0,81;7,16;0,83;2,70;15,43;2,26;17,69;12,76;150,62;131,40;13,02;5,00;14,85
4;5,08;22,99;0,65;7,81;0,76;3,47;14,20;1,82;16,01;11,33;149,67;132,71;12,80;5,00;14,01
5;4,70;27,69;0,55;8,36;0,70;4,16;13,13;1,53;14,67;10,47;148,47;132,93;12,60;5,00;13,33
6;4,35;32,05;0,48;8,84;0,64;4,81;12,17;1,35;13,52;9,97;147,70;132,97;12,42;5,00;12,76
7;4,06;36,10;0,44;9,28;0,60;5,40;11,34;1,22;12,56;9,73;146,95;132,66;12,26;5,00;12,28
8;3,78;39,88;0,40;9,68;0,55;5,95;10,57;1,12;11,70;9,61;146,02;131,98;12,10;5,00;11,85
9;3,54;43,43;0,37;10,06;0,51;6,47;9,91;1,05;10,95;9,55;144,88;131,05;11,95;5,00;11,48
10;3,33;46,75;0,35;10,40;0,48;6,94;9,30;0,97;10,27;9,48;143,58;129,96;11,81;5,00;11,14
11;3,14;49,89;0,33;10,73;0,45;7,39;8,78;0,91;9,69;9,44;142,31;128,88;11,68;5,00;10,84
12;2,97;52,86;0,31;11,04;0,42;7,81;8,30;0,86;9,17;9,41;141,28;127,99;11,55;5,00;10,58
13;2,82;55,68;0,29;11,33;0,40;8,21;7,89;0,82;8,71;9,38;140,43;127,25;11,44;5,00;10,36
14;2,68;58,36;0,28;11,61;0,37;8,58;7,48;0,77;8,26;9,38;139,73;126,62;11,33;5,00;10,13
15;2,55;60,91;0,27;11,87;0,35;8,94;7,13;0,74;7,87;9,42;139,20;126,09;11,23;5,00;9,93
16;2,43;63,34;0,25;12,13;0,34;9,27;6,79;0,71;7,50;9,48;138,80;125,64;11,13;5,00;9,75
17;2,33;65,67;0,25;12,37;0,32;9,60;6,51;0,69;7,20;9,56;139,20;125,90;11,03;5,00;9,60
18;2,22;67,89;0,24;12,61;0,32;9,91;6,22;0,67;6,88;9,67;142,14;128,40;10,94;5,00;9,44
19;2,13;70,02;0,23;12,84;0,32;10,23;5,96;0,65;6,60;9,81;148,40;133,84;10,86;5,00;9,30
20;2,04;72,07;0,23;13,07;0,32;10,55;5,72;0,63;6,35;9,95;155,48;140,01;10,78;5,00;9,17
21;1,97;74,04;0,22;13,29;0,32;10,87;5,51;0,62;6,13;10,10;162,61;146,19;10,70;5,00;9,06
22;1,89;75,93;0,22;13,51;0,32;11,19;5,28;0,60;5,89;10,26;169,73;152,32;10,63;5,00;8,94
23;1,82;77,74;0,21;13,72;0,32;11,51;5,08;0,59;5,67;10,43;176,76;158,32;10,56;5,00;8,84
24;1,75;79,49;0,21;13,93;0,32;11,83;4,89;0,58;5,47;10,61;184,41;164,85;10,49;5,00;8,74
25;1,69;81,18;0,21;14,13;0,33;12,16;4,72;0,57;5,30;10,83;195,34;174,18;10,42;5,00;8,65
26;1,62;82,80;0,20;14,33;0,33;12,50;4,52;0,56;5,08;11,05;206,77;183,93;10,36;5,00;8,54
27;1,55;84,35;0,20;14,53;0,34;12,84;4,34;0,55;4,89;11,26;217,85;193,32;10,29;5,00;8,45
28;1,49;85,84;0,19;14,72;0,34;13,18;4,17;0,54;4,71;11,46;228,40;202,22;10,23;5,00;8,36
29;1,44;87,28;0,19;14,91;0,34;13,52;4,02;0,53;4,55;11,67;238,51;210,68;10,16;5,00;8,28
30;1,38;88,66;0,19;15,10;0,34;13,86;3,86;0,52;4,38;11,87;248,27;218,79;10,10;5,00;8,19
31;1,33;90,00;0,18;15,28;0,34;14,21;3,72;0,51;4,23;12,07;257,57;226,48;10,04;5,00;8,12
32;1,29;91,28;0,18;15,46;0,34;14,55;3,60;0,50;4,10;12,25;266,05;233,45;9,98;5,00;8,05
33;1,25;92,54;0,18;15,64;0,34;14,89;3,50;0,50;4,00;12,44;274,29;240,17;9,92;5,00;8,00
34;1,21;93,75;0,18;15,82;0,34;15,23;3,39;0,49;3,88;12,62;282,44;246,80;9,87;5,00;7,94
35;1,18;94,93;0,17;15,99;0,34;15,58;3,30;0,48;3,78;12,80;290,78;253,57;9,81;5,00;7,89
36;1,15;96,08;0,17;16,16;0,34;15,92;3,21;0,48;3,69;12,97;299,59;260,73;9,76;5,00;7,85
37;1,12;97,20;0,17;16,33;0,35;16,27;3,14;0,47;3,62;13,13;308,27;267,78;9,70;5,00;7,81
38;1,09;98,30;0,17;16,50;0,35;16,61;3,06;0,47;3,53;13,29;316,69;274,61;9,65;5,00;7,76
39;1,07;99,37;0,17;16,66;0,35;16,96;3,00;0,46;3,46;13,41;324,56;281,02;9,60;5,00;7,73
40;1,05;100,42;0,16;16,83;0,35;17,31;2,94;0,46;3,40;13,51;331,66;286,86;9,55;5,00;7,70
41;1,04;101,46;0,16;16,99;0,35;17,66;2,90;0,46;3,35;13,60;338,46;292,44;9,50;5,00;7,68
42;1,02;102,47;0,16;17,15;0,35;18,01;2,84;0,45;3,29;13,68;344,90;297,73;9,45;5,00;7,65
43;1,00;103,47;0,16;17,31;0,35;18,36;2,80;0,45;3,24;13,75;350,88;302,65;9,40;5,00;7,62
