Годы;Год. доб. нефти, тыс.т;Нак. доб. нефти, тыс.т;Год. доб. воды, тыс.т;Нак. доб. воды, тыс.т;Год. доб. газа, млн.м3;Нак. доб. газа, млн.м3;Дебит нефти, т/сут;Дебит воды, т/сут;Дебит жидк., т/сут;Обводнен-ность, %;по нефти;по жидкости;Пласт. давление, МПа;Забойное давление, МПа;Туст, 0С
1;1,05;1,05;8,33;8,33;0,12;0,12;2,92;23,28;26,21;88,84;110,95;12,38;16,84;5,00;19,10
2;0,89;1,93;6,91;15,23;0,10;0,21;2,48;19,31;21,79;88,60;110,92;12,64;16,24;5,00;16,90
3;0,76;2,70;6,35;21,58;0,08;0,30;2,14;17,74;19,88;89,26;110,86;11,91;15,79;5,00;15,94
4;0,66;3,36;5,96;27,54;0,07;0,37;1,84;16,65;18,49;90,04;110,79;11,03;15,43;5,00;15,25
5;0,57;3,93;5,68;33,22;0,06;0,44;1,61;15,89;17,49;90,82;110,73;10,16;15,13;5,00;14,75
6;0,50;4,43;5,43;38,65;0,06;0,49;1,41;15,18;16,59;91,52;110,66;9,38;14,87;5,00;14,29
7;0,44;4,87;5,22;43,87;0,05;0,54;1,23;14,60;15,83;92,22;109,85;8,55;14,64;5,00;13,92
8;0,39;5,26;5,03;48,90;0,04;0,58;1,09;14,06;15,15;92,81;108,74;7,82;14,42;5,00;13,58
9;0,35;5,61;4,87;53,77;0,04;0,62;0,97;13,61;14,58;93,32;107,61;7,19;14,22;5,00;13,29
10;0,31;5,92;4,69;58,46;0,03;0,65;0,87;13,11;13,98;93,77;106,48;6,63;14,04;5,00;12,99
11;0,28;6,21;4,53;62,99;0,03;0,68;0,79;12,67;13,46;94,10;105,46;6,22;13,87;5,00;12,73
12;0,26;6,47;4,38;67,38;0,03;0,71;0,73;12,25;12,98;94,39;104,44;5,86;13,70;5,00;12,49
13;0,24;6,71;4,26;71,63;0,02;0,74;0,67;11,90;12,57;94,65;103,49;5,53;13,55;5,00;12,28
14;0,22;6,93;4,11;75,75;0,02;0,76;0,62;11,50;12,12;94,89;102,59;5,24;13,41;5,00;12,06
15;0,21;7,14;4,00;79,75;0,02;0,78;0,58;11,19;11,77;95,11;101,77;4,98;13,28;5,00;11,88
16;0,19;7,33;3,91;83,66;0,02;0,80;0,54;10,93;11,46;95,33;100,98;4,72;13,17;5,00;11,73
17;0,18;7,51;3,83;87,48;0,02;0,82;0,50;10,70;11,20;95,54;100,22;4,47;13,05;5,00;11,60
18;0,17;7,67;3,73;91,21;0,02;0,83;0,47;10,42;10,89;95,73;99,50;4,25;12,94;5,00;11,44
19;0,16;7,83;3,64;94,86;0,02;0,85;0,43;10,19;10,62;95,91;98,80;4,04;12,84;5,00;11,31
