Годы;Год. доб. нефти, тыс.т;Нак. доб. нефти, тыс.т;Год. доб. воды, тыс.т;Нак. доб. воды, тыс.т;Год. доб. газа, млн.м3;Нак. доб. газа, млн.м3;Дебит нефти, т/сут;Дебит воды, т/сут;Дебит жидк., т/сут;Обводнен-ность, %;по нефти;по жидкости;Пласт. давление, МПа;Забойное давление, МПа;Туст, 0С
1;4,19;4,19;4,51;4,51;0,76;0,76;11,72;12,61;24,33;51,83;180,21;86,81;15,13;5,00;18,16
2;3,64;7,84;1,20;5,71;0,74;1,49;10,19;3,35;13,54;24,74;202,89;152,69;14,59;5,00;12,77
3;3,30;11,14;0,82;6,53;0,73;2,22;9,23;2,31;11,53;19,99;220,93;176,77;14,30;5,00;11,77
4;3,06;14,20;0,67;7,21;0,73;2,95;8,56;1,88;10,44;18,00;237,32;194,60;14,08;5,00;11,22
5;2,89;17,09;0,58;7,78;0,73;3,68;8,07;1,61;9,68;16,63;254,14;211,89;13,88;5,00;10,84
6;2,72;19,80;0,51;8,29;0,74;4,42;7,60;1,42;9,02;15,71;271,78;229,08;13,71;5,00;10,51
7;2,58;22,38;0,46;8,75;0,75;5,17;7,21;1,28;8,49;15,13;289,79;245,95;13,55;5,00;10,25
8;2,45;24,84;0,42;9,17;0,75;5,93;6,86;1,18;8,04;14,71;307,84;262,54;13,40;5,00;10,02
9;2,35;27,18;0,39;9,57;0,76;6,69;6,56;1,10;7,66;14,40;325,45;278,59;13,26;5,00;9,83
10;2,24;29,42;0,37;9,93;0,76;7,45;6,25;1,03;7,28;14,15;342,00;293,60;13,13;5,00;9,64
11;2,14;31,56;0,35;10,28;0,77;8,22;5,99;0,97;6,96;13,96;357,70;307,77;13,01;5,00;9,48
12;2,06;33,62;0,33;10,61;0,77;8,99;5,76;0,92;6,68;13,77;372,23;320,98;12,89;5,00;9,34
13;1,99;35,61;0,31;10,92;0,77;9,76;5,57;0,88;6,45;13,58;386,09;333,64;12,78;5,00;9,22
14;1,93;37,54;0,30;11,22;0,77;10,53;5,38;0,83;6,21;13,40;402,35;348,45;12,68;5,00;9,11
15;1,87;39,41;0,28;11,51;0,81;11,34;5,23;0,80;6,03;13,21;430,18;373,35;12,57;5,00;9,02
16;1,83;41,24;0,27;11,78;0,83;12,17;5,11;0,76;5,88;13,02;453,34;394,34;12,46;5,00;8,94
17;1,80;43,04;0,26;12,04;0,85;13,01;5,02;0,74;5,76;12,81;471,99;411,52;12,36;5,00;8,88
18;1,76;44,79;0,25;12,30;0,86;13,87;4,92;0,71;5,63;12,61;487,82;426,33;12,26;5,00;8,81
19;1,73;46,52;0,25;12,54;0,87;14,74;4,84;0,68;5,52;12,41;501,52;439,31;12,17;5,00;8,76
20;1,70;48,23;0,24;12,78;0,87;15,61;4,76;0,66;5,42;12,21;513,44;450,75;12,07;5,00;8,71
21;1,68;49,91;0,23;13,01;0,88;16,49;4,70;0,64;5,34;12,03;524,18;461,12;11,98;5,00;8,67
22;1,65;51,56;0,22;13,23;0,88;17,38;4,61;0,62;5,23;11,87;534,33;470,88;11,89;5,00;8,62
23;1,62;53,18;0,22;13,45;0,88;18,26;4,54;0,60;5,14;11,74;544,07;480,21;11,80;5,00;8,57
24;1,60;54,78;0,21;13,66;0,88;19,14;4,46;0,59;5,05;11,62;553,65;489,31;11,72;5,00;8,52
25;1,57;56,35;0,20;13,86;0,89;20,03;4,40;0,57;4,97;11,51;563,07;498,24;11,63;5,00;8,49
26;1,54;57,89;0,20;14,06;0,88;20,91;4,31;0,56;4,87;11,42;572,39;507,02;11,55;5,00;8,43
27;1,51;59,41;0,19;14,25;0,88;21,79;4,23;0,54;4,77;11,35;581,60;515,61;11,47;5,00;8,39
28;1,49;60,89;0,19;14,44;0,88;22,67;4,15;0,53;4,68;11,29;590,80;524,12;11,39;5,00;8,34
29;1,46;62,35;0,19;14,63;0,88;23,55;4,09;0,52;4,60;11,24;599,94;532,52;11,31;5,00;8,30
30;1,43;63,78;0,18;14,81;0,87;24,42;4,00;0,50;4,50;11,20;609,22;540,97;11,23;5,00;8,25
31;1,40;65,19;0,18;14,99;0,87;25,28;3,92;0,49;4,41;11,18;618,46;549,33;11,16;5,00;8,21
32;1,38;66,56;0,17;15,16;0,86;26,15;3,84;0,48;4,33;11,16;627,71;557,65;11,08;5,00;8,16
33;1,35;67,91;0,17;15,33;0,86;27,01;3,78;0,47;4,25;11,16;636,94;565,85;11,01;5,00;8,13
34;1,32;69,24;0,17;15,49;0,85;27,86;3,70;0,46;4,16;11,17;645,96;573,82;10,94;5,00;8,08
35;1,30;70,53;0,16;15,66;0,85;28,71;3,62;0,46;4,08;11,18;654,97;581,74;10,87;5,00;8,04
36;1,27;71,80;0,16;15,82;0,84;29,55;3,55;0,45;4,00;11,20;663,82;589,48;10,80;5,00;8,00
37;1,25;73,05;0,16;15,98;0,84;30,39;3,49;0,44;3,93;11,22;672,29;596,86;10,73;5,00;7,97
38;1,22;74,27;0,15;16,13;0,83;31,23;3,41;0,43;3,84;11,24;680,76;604,22;10,67;5,00;7,92
39;1,20;75,47;0,15;16,28;0,82;32,05;3,35;0,43;3,77;11,27;689,29;611,58;10,61;5,00;7,89
40;1,17;76,64;0,15;16,43;0,82;32,87;3,28;0,42;3,69;11,32;698,01;619,02;10,54;5,00;7,85
41;1,15;77,79;0,15;16,58;0,81;33,68;3,22;0,41;3,63;11,37;706,85;626,50;10,48;5,00;7,81
42;1,12;78,91;0,14;16,72;0,80;34,48;3,14;0,40;3,54;11,43;715,88;634,06;10,42;5,00;7,77
43;1,10;80,01;0,14;16,87;0,80;35,28;3,07;0,40;3,47;11,50;724,98;641,63;10,36;5,00;7,73
