Годы;Год. доб. нефти, тыс.т;Нак. доб. нефти, тыс.т;Год. доб. воды, тыс.т;Нак. доб. воды, тыс.т;Год. доб. газа, млн.м3;Нак. доб. газа, млн.м3;Дебит нефти, т/сут;Дебит воды, т/сут;Дебит жидк., т/сут;Обводнен-ность, %;по нефти;по жидкости;Пласт. давление, МПа;Забойное давление, МПа;Туст, 0С
1;1,86;1,86;15,17;15,17;0,22;0,22;5,21;42,41;47,62;89,06;115,86;12,68;17,75;13,55;29,81
2;2,32;4,19;14,58;29,75;0,26;0,48;6,49;40,76;47,25;86,26;113,09;15,54;17,12;11,49;29,63
3;2,30;6,49;14,60;44,35;0,26;0,73;6,44;40,82;47,26;86,37;110,98;15,13;16,63;9,93;29,63
4;2,12;8,61;14,82;59,17;0,23;0,97;5,92;41,44;47,36;87,50;109,17;13,65;16,24;8,80;29,68
5;1,88;10,49;15,15;74,33;0,20;1,17;5,25;42,37;47,62;88,98;107,40;11,84;15,93;8,02;29,81
6;1,63;12,12;15,40;89,73;0,17;1,34;4,56;43,06;47,61;90,43;105,77;10,13;15,66;7,41;29,81
7;1,45;13,56;15,62;105,35;0,15;1,49;4,04;43,67;47,71;91,53;104,22;8,82;15,41;6,90;29,86
8;1,30;14,86;15,80;121,15;0,13;1,62;3,63;44,16;47,79;92,41;102,74;7,80;15,18;6,46;29,89
9;1,17;16,03;15,99;137,14;0,12;1,74;3,28;44,70;47,99;93,16;101,44;6,94;14,98;6,08;29,99
10;1,06;17,10;16,07;153,21;0,11;1,85;2,98;44,94;47,91;93,79;100,58;6,25;14,79;5,73;29,96
11;0,97;18,07;16,18;169,39;0,10;1,95;2,72;45,24;47,96;94,33;100,46;5,70;14,60;5,40;29,98
12;0,89;18,96;16,28;185,67;0,09;2,04;2,49;45,51;48,00;94,81;100,58;5,22;14,43;5,09;30,00
13;0,83;19,79;16,25;201,92;0,08;2,12;2,31;45,43;47,74;95,17;100,87;4,87;14,27;5,00;29,87
14;0,75;20,54;15,79;217,72;0,08;2,20;2,11;44,15;46,26;95,45;101,18;4,61;14,14;5,00;29,13
15;0,69;21,23;15,41;233,13;0,07;2,27;1,93;43,09;45,02;95,71;101,83;4,37;14,02;5,00;28,51
16;0,64;21,87;15,07;248,20;0,07;2,33;1,78;42,12;43,90;95,95;102,53;4,15;13,90;5,00;27,95
17;0,59;22,45;14,78;262,98;0,06;2,39;1,64;41,32;42,97;96,18;103,37;3,95;13,79;5,00;27,48
18;0,54;23,00;14,43;277,41;0,06;2,45;1,51;40,34;41,86;96,39;104,34;3,77;13,69;5,00;26,93
19;0,50;23,49;14,14;291,55;0,05;2,50;1,40;39,52;40,92;96,58;105,45;3,60;13,59;5,00;26,46
20;0,46;23,96;13,86;305,40;0,05;2,55;1,29;38,73;40,03;96,77;106,70;3,45;13,49;5,00;26,01
21;0,43;24,39;13,64;319,04;0,05;2,60;1,20;38,13;39,33;96,95;108,10;3,30;13,40;5,00;25,67
22;0,40;24,78;13,37;332,41;0,04;2,64;1,11;37,37;38,49;97,11;109,58;3,17;13,32;5,00;25,24
23;0,37;25,16;13,14;345,55;0,04;2,68;1,04;36,73;37,77;97,25;111,12;3,05;13,23;5,00;24,88
24;0,35;25,50;12,91;358,46;0,04;2,72;0,97;36,10;37,07;97,38;112,78;2,95;13,15;5,00;24,53
25;0,33;25,83;12,73;371,19;0,04;2,76;0,91;35,58;36,49;97,50;114,54;2,86;13,07;5,00;24,25
26;0,30;26,13;12,48;383,67;0,04;2,79;0,85;34,88;35,74;97,62;116,37;2,77;13,00;5,00;23,87
27;0,29;26,42;12,27;395,94;0,03;2,83;0,80;34,30;35,11;97,71;118,24;2,70;12,92;5,00;23,55
28;0,27;26,69;12,07;408,01;0,03;2,86;0,76;33,74;34,50;97,80;120,11;2,65;12,85;5,00;23,25
29;0,26;26,95;11,91;419,91;0,03;2,89;0,72;33,28;34,01;97,87;123,21;2,62;12,78;5,00;23,00
30;0,25;27,20;11,68;431,60;0,03;2,92;0,69;32,67;33,35;97,94;126,66;2,60;12,71;5,00;22,68
31;0,23;27,43;11,51;443,10;0,03;2,95;0,66;32,17;32,83;98,00;129,92;2,60;12,65;5,00;22,41
32;0,22;27,66;11,36;454,47;0,03;2,98;0,63;31,77;32,40;98,06;133,14;2,58;12,59;5,00;22,20
33;0,22;27,87;11,26;465,72;0,03;3,01;0,60;31,47;32,08;98,12;136,41;2,57;12,53;5,00;22,04
34;0,21;28,08;11,09;476,81;0,03;3,04;0,58;31,00;31,58;98,17;139,72;2,56;12,47;5,00;21,79
35;0,20;28,28;10,95;487,77;0,03;3,07;0,55;30,62;31,17;98,22;143,04;2,54;12,41;5,00;21,59
36;0,19;28,47;10,82;498,58;0,03;3,10;0,53;30,24;30,77;98,27;146,43;2,53;12,35;5,00;21,39
37;0,18;28,65;10,71;509,30;0,03;3,13;0,51;29,95;30,47;98,32;149,77;2,52;12,29;5,00;21,23
38;0,18;28,83;10,55;519,85;0,03;3,15;0,49;29,51;30,00;98,36;153,02;2,51;12,24;5,00;21,00
39;0,17;29,00;10,43;530,28;0,03;3,18;0,48;29,15;29,62;98,40;156,28;2,51;12,19;5,00;20,81
40;0,16;29,16;10,30;540,58;0,03;3,21;0,46;28,80;29,26;98,43;160,39;2,51;12,13;5,00;20,63
41;0,16;29,32;10,21;550,79;0,03;3,23;0,44;28,55;28,99;98,47;167,02;2,55;12,08;5,00;20,49
42;0,15;29,47;10,07;560,86;0,03;3,26;0,43;28,15;28,58;98,51;173,78;2,59;12,03;5,00;20,29
43;0,13;29,60;8,47;569,33;0,02;3,28;0,35;23,67;24,02;98,54;180,00;2,63;12,23;0,00;18,01
